2024-10-14 19:44:52 INFO  baseClass:49 - Hi
2024-10-14 21:32:56 INFO  baseClass:38 - Clicked on the Marital Status
2024-10-14 21:32:58 INFO  baseClass:41 - Selected Marital Status value
2024-10-14 21:33:00 INFO  baseClass:44 - Selected the Gender
2024-10-14 21:33:03 INFO  baseClass:47 - Clicked on Save
2024-10-14 21:33:05 INFO  baseClass:50 - Clicked on the BloodGroup
2024-10-14 21:33:07 INFO  baseClass:53 - Selected the BloodGroup Value
2024-10-14 21:33:07 INFO  baseClass:55 - Clicked on the Save Button
2024-10-14 21:33:08 INFO  baseClass:55 - Clossing the Browser
2024-10-14 21:33:11 INFO  baseClass:49 - The URL is Opening
2024-10-14 21:33:12 INFO  baseClass:21 - Entering the UserName
2024-10-14 21:33:12 INFO  baseClass:23 - Entering the Password
2024-10-14 21:33:13 INFO  baseClass:25 - Clicked on the Login Button
2024-10-14 21:33:14 INFO  baseClass:28 - Clicked on the Personal Information tab
2024-10-14 21:33:15 INFO  baseClass:31 - Clicked on the Qualification Link
2024-10-14 21:33:16 INFO  baseClass:33 - Clicked on the WorkExperience AddButton
2024-10-14 21:33:18 INFO  baseClass:36 - Entered the Company Name
2024-10-14 21:33:20 INFO  baseClass:39 - Entered the Job Position
2024-10-14 21:33:22 INFO  baseClass:42 - Entered the FromDate
2024-10-14 21:33:24 INFO  baseClass:45 - Entered the ToDate
2024-10-14 21:33:29 INFO  baseClass:48 - Clicked on the Save Button
2024-10-14 21:33:31 INFO  baseClass:51 - Clicked on the Education Add Button
2024-10-14 21:33:34 INFO  baseClass:54 - Clicked on the Education Level
2024-10-14 21:33:36 INFO  baseClass:57 - Entered the Education Level
2024-10-14 21:33:38 INFO  baseClass:60 - Entered the Institution name
2024-10-14 21:33:39 INFO  baseClass:63 - Entered the Course Name
2024-10-14 21:33:40 INFO  baseClass:66 - Entered the Completed Year
2024-10-14 21:33:41 INFO  baseClass:69 - Entered the CGPA
2024-10-14 21:33:42 INFO  baseClass:72 - Entered the From Date
2024-10-14 21:33:44 INFO  baseClass:75 - Entered the To Date
2024-10-14 21:33:44 INFO  baseClass:77 - Clicked the Save Button
2024-10-14 21:33:44 INFO  baseClass:55 - Clossing the Browser
2024-10-14 22:40:11 INFO  baseClass:49 - The URL is Opening
2024-10-14 22:40:11 INFO  baseClass:21 - Entered the Admin Username
2024-10-14 22:40:13 INFO  baseClass:24 - Entered the Admin Password
2024-10-14 22:40:16 INFO  baseClass:27 - Clicked on the Login Button
2024-10-14 22:41:17 INFO  baseClass:49 - The URL is Opening
2024-10-14 22:41:17 INFO  baseClass:21 - Entered the Admin Username
2024-10-14 22:41:19 INFO  baseClass:24 - Entered the Admin Password
2024-10-14 22:41:22 INFO  baseClass:27 - Clicked on the Login Button
2024-10-14 22:41:24 INFO  baseClass:31 - Clicked on the PIM
2024-10-14 22:41:27 INFO  baseClass:34 - Checked the EmployeeList is selected OR Not
2024-10-14 22:41:39 INFO  baseClass:37 - Entering the Table Data
2024-10-14 22:41:41 INFO  baseClass:55 - Clossing the Browser
2024-10-14 22:44:32 INFO  baseClass:49 - The URL is Opening
2024-10-14 22:44:33 INFO  baseClass:21 - Entered the Admin Username
2024-10-14 22:44:35 INFO  baseClass:24 - Entered the Admin Password
2024-10-14 22:44:37 INFO  baseClass:27 - Clicked on the Login Button
2024-10-14 22:44:40 INFO  baseClass:31 - Clicked on the PIM
2024-10-14 22:44:42 INFO  baseClass:34 - Checked the EmployeeList is selected OR Not
2024-10-14 22:44:54 INFO  baseClass:37 - Entering the Table Data
2024-10-14 22:44:56 INFO  baseClass:55 - Clossing the Browser
2024-10-14 23:01:41 INFO  baseClass:49 - The URL is Opening
2024-10-14 23:01:42 INFO  baseClass:21 - Entered the Admin Username
2024-10-14 23:01:44 INFO  baseClass:24 - Entered the Admin Password
2024-10-14 23:01:48 INFO  baseClass:27 - Clicked on the Login Button
2024-10-14 23:01:51 INFO  baseClass:31 - Clicked on the PIM
2024-10-14 23:01:53 INFO  baseClass:34 - Checked the EmployeeList is selected OR Not
2024-10-14 23:02:05 INFO  baseClass:37 - Entering the Table Data
2024-10-14 23:02:07 INFO  baseClass:55 - Clossing the Browser
2024-10-14 23:03:46 INFO  baseClass:49 - The URL is Opening
2024-10-14 23:03:47 INFO  baseClass:21 - Entered the Admin Username
2024-10-14 23:03:49 INFO  baseClass:24 - Entered the Admin Password
2024-10-14 23:03:52 INFO  baseClass:27 - Clicked on the Login Button
2024-10-14 23:03:55 INFO  baseClass:31 - Clicked on the PIM
2024-10-14 23:03:57 INFO  baseClass:34 - Checked the EmployeeList is selected OR Not
2024-10-14 23:04:09 INFO  baseClass:37 - Entering the Table Data
2024-10-14 23:04:11 INFO  baseClass:55 - Clossing the Browser
2024-10-15 09:55:11 INFO  baseClass:49 - The URL is Opening
2024-10-15 09:55:12 INFO  baseClass:21 - Entered the Admin Username
2024-10-15 09:55:14 INFO  baseClass:24 - Entered the Admin Password
2024-10-15 09:55:17 INFO  baseClass:27 - Clicked on the Login Button
2024-10-15 09:55:20 INFO  baseClass:31 - Clicked on the PIM
2024-10-15 09:55:22 INFO  baseClass:34 - Checked the EmployeeList is selected OR Not
2024-10-15 09:55:34 INFO  baseClass:37 - Entering the Table Data
2024-10-15 09:55:37 INFO  baseClass:55 - Clossing the Browser
2024-10-15 09:57:19 INFO  baseClass:49 - The URL is Opening
2024-10-15 09:57:20 INFO  baseClass:21 - Entered the Admin Username
2024-10-15 09:57:22 INFO  baseClass:24 - Entered the Admin Password
2024-10-15 09:57:25 INFO  baseClass:27 - Clicked on the Login Button
2024-10-15 09:57:28 INFO  baseClass:31 - Clicked on the PIM
2024-10-15 09:57:30 INFO  baseClass:34 - Checked the EmployeeList is selected OR Not
2024-10-15 09:57:42 INFO  baseClass:37 - Entering the Table Data
2024-10-15 10:14:46 INFO  baseClass:49 - The URL is Opening
2024-10-15 10:14:47 INFO  baseClass:21 - Entered the Admin Username
2024-10-15 10:14:49 INFO  baseClass:24 - Entered the Admin Password
2024-10-15 10:14:53 INFO  baseClass:27 - Clicked on the Login Button
2024-10-15 10:14:56 INFO  baseClass:31 - Clicked on the PIM
2024-10-15 10:14:58 INFO  baseClass:34 - Checked the EmployeeList is selected OR Not
2024-10-15 10:15:10 INFO  baseClass:37 - Entering the Table Data
2024-10-15 10:16:44 INFO  baseClass:49 - The URL is Opening
2024-10-15 10:16:46 INFO  baseClass:21 - Entered the Admin Username
2024-10-15 10:16:48 INFO  baseClass:24 - Entered the Admin Password
2024-10-15 10:16:51 INFO  baseClass:27 - Clicked on the Login Button
2024-10-15 10:16:54 INFO  baseClass:31 - Clicked on the PIM
2024-10-15 10:16:56 INFO  baseClass:34 - Checked the EmployeeList is selected OR Not
2024-10-15 10:17:08 INFO  baseClass:37 - Entering the Table Data
2024-10-15 10:23:17 INFO  baseClass:49 - The URL is Opening
2024-10-15 10:23:18 INFO  baseClass:21 - Entered the Admin Username
2024-10-15 10:23:20 INFO  baseClass:24 - Entered the Admin Password
2024-10-15 10:23:22 INFO  baseClass:27 - Clicked on the Login Button
2024-10-15 10:23:25 INFO  baseClass:31 - Clicked on the PIM
2024-10-15 10:23:27 INFO  baseClass:34 - Checked the EmployeeList is selected OR Not
2024-10-15 10:23:29 INFO  baseClass:37 - Entering the Table Data
2024-10-15 10:25:19 INFO  baseClass:49 - The URL is Opening
2024-10-15 10:25:20 INFO  baseClass:21 - Entered the Admin Username
2024-10-15 10:25:23 INFO  baseClass:24 - Entered the Admin Password
2024-10-15 10:25:25 INFO  baseClass:27 - Clicked on the Login Button
2024-10-15 10:25:28 INFO  baseClass:31 - Clicked on the PIM
2024-10-15 10:25:30 INFO  baseClass:34 - Checked the EmployeeList is selected OR Not
2024-10-15 10:25:32 INFO  baseClass:37 - Entering the Table Data
2024-10-15 10:29:55 INFO  baseClass:49 - The URL is Opening
2024-10-15 10:29:57 INFO  baseClass:21 - Entered the Admin Username
2024-10-15 10:29:59 INFO  baseClass:24 - Entered the Admin Password
2024-10-15 10:30:03 INFO  baseClass:27 - Clicked on the Login Button
2024-10-15 10:30:06 INFO  baseClass:31 - Clicked on the PIM
2024-10-15 10:30:08 INFO  baseClass:34 - Checked the EmployeeList is selected OR Not
2024-10-15 10:30:20 INFO  baseClass:37 - Entering the Table Data
2024-10-15 10:38:24 INFO  baseClass:49 - The URL is Opening
2024-10-15 10:38:25 INFO  baseClass:21 - Entered the Admin Username
2024-10-15 10:38:27 INFO  baseClass:24 - Entered the Admin Password
2024-10-15 10:38:31 INFO  baseClass:27 - Clicked on the Login Button
2024-10-15 10:38:34 INFO  baseClass:31 - Clicked on the PIM
2024-10-15 10:38:36 INFO  baseClass:34 - Checked the EmployeeList is selected OR Not
2024-10-15 10:38:48 INFO  baseClass:37 - Entering the Table Data
2024-10-15 10:40:42 INFO  baseClass:49 - The URL is Opening
2024-10-15 10:40:44 INFO  baseClass:21 - Entered the Admin Username
2024-10-15 10:40:46 INFO  baseClass:24 - Entered the Admin Password
2024-10-15 10:40:48 INFO  baseClass:27 - Clicked on the Login Button
2024-10-15 10:40:51 INFO  baseClass:31 - Clicked on the PIM
2024-10-15 10:40:53 INFO  baseClass:34 - Checked the EmployeeList is selected OR Not
2024-10-15 10:41:05 INFO  baseClass:37 - Entering the Table Data
2024-10-15 11:09:49 INFO  baseClass:49 - The URL is Opening
2024-10-15 11:09:50 INFO  baseClass:21 - Entered the Admin Username
2024-10-15 11:09:52 INFO  baseClass:24 - Entered the Admin Password
2024-10-15 11:09:56 INFO  baseClass:27 - Clicked on the Login Button
2024-10-15 11:09:58 INFO  baseClass:31 - Clicked on the PIM
2024-10-15 11:10:01 INFO  baseClass:34 - Checked the EmployeeList is selected OR Not
2024-10-15 11:10:03 INFO  baseClass:37 - Entering the Table Data
2024-10-16 13:15:17 INFO  baseClass:49 - The URL is Opening
2024-10-16 13:15:18 INFO  baseClass:21 - Entered the Admin Username
2024-10-16 13:15:20 INFO  baseClass:24 - Entered the Admin Password
2024-10-16 13:15:24 INFO  baseClass:27 - Clicked on the Login Button
2024-10-16 13:15:27 INFO  baseClass:31 - Clicked on the PIM
2024-10-16 13:15:29 INFO  baseClass:34 - Checked the EmployeeList is selected OR Not
2024-10-16 13:15:31 INFO  baseClass:37 - Entering the Table Data
2024-10-16 13:16:58 INFO  baseClass:49 - The URL is Opening
2024-10-16 13:16:59 INFO  baseClass:21 - Entered the Admin Username
2024-10-16 13:17:01 INFO  baseClass:24 - Entered the Admin Password
2024-10-16 13:17:03 INFO  baseClass:27 - Clicked on the Login Button
2024-10-16 13:17:06 INFO  baseClass:31 - Clicked on the PIM
2024-10-16 13:17:08 INFO  baseClass:34 - Checked the EmployeeList is selected OR Not
2024-10-16 13:17:10 INFO  baseClass:37 - Entering the Table Data
2024-10-16 13:18:03 INFO  baseClass:49 - The URL is Opening
2024-10-16 13:18:05 INFO  baseClass:21 - Entered the Admin Username
2024-10-16 13:18:07 INFO  baseClass:24 - Entered the Admin Password
2024-10-16 13:18:09 INFO  baseClass:27 - Clicked on the Login Button
2024-10-16 13:18:12 INFO  baseClass:31 - Clicked on the PIM
2024-10-16 13:18:14 INFO  baseClass:34 - Checked the EmployeeList is selected OR Not
2024-10-16 13:18:18 INFO  baseClass:37 - Entering the Table Data
2024-10-16 13:20:09 INFO  baseClass:49 - The URL is Opening
2024-10-16 13:20:09 INFO  baseClass:21 - Entered the Admin Username
2024-10-16 13:20:11 INFO  baseClass:24 - Entered the Admin Password
2024-10-16 13:20:15 INFO  baseClass:27 - Clicked on the Login Button
2024-10-16 13:20:18 INFO  baseClass:31 - Clicked on the PIM
2024-10-16 13:20:20 INFO  baseClass:34 - Checked the EmployeeList is selected OR Not
2024-10-16 13:20:23 INFO  baseClass:37 - Entering the Table Data
2024-10-16 13:25:28 INFO  baseClass:49 - The URL is Opening
2024-10-16 13:25:30 INFO  baseClass:21 - Entered the Admin Username
2024-10-16 13:25:32 INFO  baseClass:24 - Entered the Admin Password
2024-10-16 13:25:35 INFO  baseClass:27 - Clicked on the Login Button
2024-10-16 13:25:38 INFO  baseClass:31 - Clicked on the PIM
2024-10-16 13:25:40 INFO  baseClass:34 - Checked the EmployeeList is selected OR Not
2024-10-16 13:27:49 INFO  baseClass:49 - The URL is Opening
2024-10-16 13:27:51 INFO  baseClass:21 - Entered the Admin Username
2024-10-16 13:27:53 INFO  baseClass:24 - Entered the Admin Password
2024-10-16 13:27:56 INFO  baseClass:27 - Clicked on the Login Button
2024-10-16 13:27:59 INFO  baseClass:31 - Clicked on the PIM
2024-10-16 13:28:01 INFO  baseClass:34 - Checked the EmployeeList is selected OR Not
2024-10-16 13:36:26 INFO  baseClass:37 - Entering the Table Data
2024-10-16 13:37:06 INFO  baseClass:49 - The URL is Opening
2024-10-16 13:37:07 INFO  baseClass:21 - Entered the Admin Username
2024-10-16 13:37:09 INFO  baseClass:24 - Entered the Admin Password
2024-10-16 13:37:12 INFO  baseClass:27 - Clicked on the Login Button
2024-10-16 13:37:15 INFO  baseClass:31 - Clicked on the PIM
2024-10-16 13:37:17 INFO  baseClass:34 - Checked the EmployeeList is selected OR Not
2024-10-16 13:40:28 INFO  baseClass:49 - The URL is Opening
2024-10-16 13:40:30 INFO  baseClass:21 - Entered the Admin Username
2024-10-16 13:40:32 INFO  baseClass:24 - Entered the Admin Password
2024-10-16 13:40:35 INFO  baseClass:27 - Clicked on the Login Button
2024-10-16 13:40:38 INFO  baseClass:31 - Clicked on the PIM
2024-10-16 13:40:40 INFO  baseClass:34 - Checked the EmployeeList is selected OR Not
2024-10-16 21:44:00 INFO  baseClass:49 - The URL is Opening
2024-10-16 21:44:01 INFO  baseClass:21 - Entered the Admin Username
2024-10-16 21:44:03 INFO  baseClass:24 - Entered the Admin Password
2024-10-16 21:44:05 INFO  baseClass:27 - Clicked on the Login Button
2024-10-16 21:44:08 INFO  baseClass:31 - Clicked on the PIM
2024-10-16 21:44:10 INFO  baseClass:34 - Checked the EmployeeList is selected OR Not
2024-10-16 21:48:08 INFO  baseClass:49 - The URL is Opening
2024-10-16 21:48:08 INFO  baseClass:21 - Entered the Admin Username
2024-10-16 21:48:10 INFO  baseClass:24 - Entered the Admin Password
2024-10-16 21:48:12 INFO  baseClass:27 - Clicked on the Login Button
2024-10-16 21:48:15 INFO  baseClass:31 - Clicked on the PIM
2024-10-16 21:48:17 INFO  baseClass:34 - Checked the EmployeeList is selected OR Not
2024-10-16 21:48:30 INFO  baseClass:37 - Entering the Table Data
2024-10-16 21:51:23 INFO  baseClass:49 - The URL is Opening
2024-10-16 21:51:24 INFO  baseClass:21 - Entered the Admin Username
2024-10-16 21:51:26 INFO  baseClass:24 - Entered the Admin Password
2024-10-16 21:51:28 INFO  baseClass:27 - Clicked on the Login Button
2024-10-16 21:51:31 INFO  baseClass:31 - Clicked on the PIM
2024-10-16 21:51:33 INFO  baseClass:34 - Checked the EmployeeList is selected OR Not
2024-10-16 21:53:15 INFO  baseClass:49 - The URL is Opening
2024-10-16 21:53:15 INFO  baseClass:21 - Entered the Admin Username
2024-10-16 21:53:17 INFO  baseClass:24 - Entered the Admin Password
2024-10-16 21:53:19 INFO  baseClass:27 - Clicked on the Login Button
2024-10-16 21:53:23 INFO  baseClass:31 - Clicked on the PIM
2024-10-16 21:53:25 INFO  baseClass:34 - Checked the EmployeeList is selected OR Not
2024-10-16 21:54:05 INFO  baseClass:37 - Entering the Table Data
2024-10-16 21:55:15 INFO  baseClass:49 - The URL is Opening
2024-10-16 21:55:16 INFO  baseClass:21 - Entered the Admin Username
2024-10-16 21:55:18 INFO  baseClass:24 - Entered the Admin Password
2024-10-16 21:55:21 INFO  baseClass:27 - Clicked on the Login Button
2024-10-16 21:55:24 INFO  baseClass:31 - Clicked on the PIM
2024-10-16 21:55:26 INFO  baseClass:34 - Checked the EmployeeList is selected OR Not
2024-10-16 21:56:08 INFO  baseClass:37 - Entering the Table Data
2024-10-16 21:58:21 INFO  baseClass:49 - The URL is Opening
2024-10-16 21:58:22 INFO  baseClass:21 - Entered the Admin Username
2024-10-16 21:58:24 INFO  baseClass:24 - Entered the Admin Password
2024-10-16 21:58:26 INFO  baseClass:27 - Clicked on the Login Button
2024-10-16 21:58:29 INFO  baseClass:31 - Clicked on the PIM
2024-10-16 21:58:31 INFO  baseClass:34 - Checked the EmployeeList is selected OR Not
2024-10-16 22:07:05 INFO  baseClass:37 - Entering the Table Data
2024-10-16 22:16:58 INFO  baseClass:49 - The URL is Opening
2024-10-16 22:16:58 INFO  baseClass:21 - Entered the Admin Username
2024-10-16 22:17:00 INFO  baseClass:24 - Entered the Admin Password
2024-10-16 22:17:03 INFO  baseClass:27 - Clicked on the Login Button
2024-10-16 22:17:06 INFO  baseClass:31 - Clicked on the PIM
2024-10-16 22:17:08 INFO  baseClass:34 - Checked the EmployeeList is selected OR Not
2024-10-16 22:17:10 INFO  baseClass:37 - Entering the Table Data
2024-10-16 22:19:39 INFO  baseClass:49 - The URL is Opening
2024-10-16 22:19:39 INFO  baseClass:21 - Entered the Admin Username
2024-10-16 22:19:42 INFO  baseClass:24 - Entered the Admin Password
2024-10-16 22:19:44 INFO  baseClass:27 - Clicked on the Login Button
2024-10-16 22:19:47 INFO  baseClass:31 - Clicked on the PIM
2024-10-16 22:19:49 INFO  baseClass:34 - Checked the EmployeeList is selected OR Not
2024-10-16 22:19:52 INFO  baseClass:37 - Entering the Table Data
2024-10-16 22:20:15 INFO  baseClass:49 - The URL is Opening
2024-10-16 22:20:16 INFO  baseClass:21 - Entered the Admin Username
2024-10-16 22:20:18 INFO  baseClass:24 - Entered the Admin Password
2024-10-16 22:20:20 INFO  baseClass:27 - Clicked on the Login Button
2024-10-16 22:20:23 INFO  baseClass:31 - Clicked on the PIM
2024-10-16 22:20:25 INFO  baseClass:34 - Checked the EmployeeList is selected OR Not
2024-10-16 22:20:28 INFO  baseClass:37 - Entering the Table Data
2024-10-16 22:21:37 INFO  baseClass:49 - The URL is Opening
2024-10-16 22:21:37 INFO  baseClass:21 - Entered the Admin Username
2024-10-16 22:21:39 INFO  baseClass:24 - Entered the Admin Password
2024-10-16 22:21:43 INFO  baseClass:27 - Clicked on the Login Button
2024-10-16 22:21:46 INFO  baseClass:31 - Clicked on the PIM
2024-10-16 22:21:48 INFO  baseClass:34 - Checked the EmployeeList is selected OR Not
2024-10-16 22:21:50 INFO  baseClass:37 - Entering the Table Data
2024-10-16 22:32:36 INFO  baseClass:49 - The URL is Opening
2024-10-16 22:32:36 INFO  baseClass:24 - Entered the Admin Username
2024-10-16 22:32:39 INFO  baseClass:27 - Entered the Admin Password
2024-10-16 22:32:41 INFO  baseClass:30 - Clicked on the Login Button
2024-10-16 22:32:44 INFO  baseClass:34 - Clicked on the PIM
2024-10-16 22:32:46 INFO  baseClass:37 - Checked the EmployeeList is selected OR Not
2024-10-16 22:36:07 INFO  baseClass:49 - The URL is Opening
2024-10-16 22:36:09 INFO  baseClass:24 - Entered the Admin Username
2024-10-16 22:36:12 INFO  baseClass:27 - Entered the Admin Password
2024-10-16 22:36:16 INFO  baseClass:30 - Clicked on the Login Button
2024-10-16 22:36:19 INFO  baseClass:34 - Clicked on the PIM
2024-10-16 22:36:21 INFO  baseClass:37 - Checked the EmployeeList is selected OR Not
2024-10-16 22:38:32 INFO  baseClass:49 - The URL is Opening
2024-10-16 22:38:35 INFO  baseClass:24 - Entered the Admin Username
2024-10-16 22:38:37 INFO  baseClass:27 - Entered the Admin Password
2024-10-16 22:38:39 INFO  baseClass:30 - Clicked on the Login Button
2024-10-16 22:38:43 INFO  baseClass:34 - Clicked on the PIM
2024-10-16 22:38:45 INFO  baseClass:37 - Checked the EmployeeList is selected OR Not
2024-10-16 22:41:58 INFO  baseClass:49 - The URL is Opening
2024-10-16 22:41:59 INFO  baseClass:24 - Entered the Admin Username
2024-10-16 22:42:01 INFO  baseClass:27 - Entered the Admin Password
2024-10-16 22:42:05 INFO  baseClass:30 - Clicked on the Login Button
2024-10-16 22:42:08 INFO  baseClass:34 - Clicked on the PIM
2024-10-16 22:42:10 INFO  baseClass:37 - Checked the EmployeeList is selected OR Not
2024-10-16 22:45:28 INFO  baseClass:49 - The URL is Opening
2024-10-16 22:45:30 INFO  baseClass:24 - Entered the Admin Username
2024-10-16 22:45:32 INFO  baseClass:27 - Entered the Admin Password
2024-10-16 22:45:34 INFO  baseClass:30 - Clicked on the Login Button
2024-10-16 22:45:39 INFO  baseClass:34 - Clicked on the PIM
2024-10-16 22:45:41 INFO  baseClass:37 - Checked the EmployeeList is selected OR Not
2024-10-16 22:47:16 INFO  baseClass:49 - The URL is Opening
2024-10-16 22:47:19 INFO  baseClass:24 - Entered the Admin Username
2024-10-16 22:47:21 INFO  baseClass:27 - Entered the Admin Password
2024-10-16 22:47:25 INFO  baseClass:30 - Clicked on the Login Button
2024-10-16 22:47:31 INFO  baseClass:34 - Clicked on the PIM
2024-10-16 22:47:33 INFO  baseClass:37 - Checked the EmployeeList is selected OR Not
2024-10-16 22:48:14 INFO  baseClass:49 - The URL is Opening
2024-10-16 22:48:15 INFO  baseClass:24 - Entered the Admin Username
2024-10-16 22:48:17 INFO  baseClass:27 - Entered the Admin Password
2024-10-16 22:48:19 INFO  baseClass:30 - Clicked on the Login Button
2024-10-16 22:48:24 INFO  baseClass:34 - Clicked on the PIM
2024-10-16 22:48:26 INFO  baseClass:37 - Checked the EmployeeList is selected OR Not
2024-10-16 22:50:46 INFO  baseClass:49 - The URL is Opening
2024-10-16 22:50:51 INFO  baseClass:24 - Entered the Admin Username
2024-10-16 22:50:53 INFO  baseClass:27 - Entered the Admin Password
2024-10-16 22:50:55 INFO  baseClass:30 - Clicked on the Login Button
2024-10-16 22:50:59 INFO  baseClass:34 - Clicked on the PIM
2024-10-16 22:51:01 INFO  baseClass:37 - Checked the EmployeeList is selected OR Not
2024-10-16 23:00:20 INFO  baseClass:49 - The URL is Opening
2024-10-16 23:00:22 INFO  baseClass:24 - Entered the Admin Username
2024-10-16 23:00:25 INFO  baseClass:27 - Entered the Admin Password
2024-10-16 23:00:27 INFO  baseClass:30 - Clicked on the Login Button
2024-10-16 23:00:30 INFO  baseClass:34 - Clicked on the PIM
2024-10-16 23:00:32 INFO  baseClass:37 - Checked the EmployeeList is selected OR Not
2024-10-16 23:01:41 INFO  baseClass:49 - The URL is Opening
2024-10-16 23:01:42 INFO  baseClass:24 - Entered the Admin Username
2024-10-16 23:01:44 INFO  baseClass:27 - Entered the Admin Password
2024-10-16 23:01:48 INFO  baseClass:30 - Clicked on the Login Button
2024-10-16 23:01:52 INFO  baseClass:34 - Clicked on the PIM
2024-10-16 23:01:54 INFO  baseClass:37 - Checked the EmployeeList is selected OR Not
2024-10-17 20:14:39 INFO  baseClass:49 - The URL is Opening
2024-10-17 20:14:40 INFO  baseClass:24 - Entered the Admin Username
2024-10-17 20:14:42 INFO  baseClass:27 - Entered the Admin Password
2024-10-17 20:14:45 INFO  baseClass:30 - Clicked on the Login Button
2024-10-17 20:14:48 INFO  baseClass:34 - Clicked on the PIM
2024-10-17 20:14:50 INFO  baseClass:37 - Checked the EmployeeList is selected OR Not
2024-10-17 20:29:16 INFO  baseClass:49 - The URL is Opening
2024-10-17 20:29:18 INFO  baseClass:24 - Entered the Admin Username
2024-10-17 20:29:20 INFO  baseClass:27 - Entered the Admin Password
2024-10-17 20:29:22 INFO  baseClass:30 - Clicked on the Login Button
2024-10-17 20:29:26 INFO  baseClass:34 - Clicked on the PIM
2024-10-17 20:29:28 INFO  baseClass:37 - Checked the EmployeeList is selected OR Not
2024-10-17 20:36:50 INFO  baseClass:49 - The URL is Opening
2024-10-17 20:36:51 INFO  baseClass:24 - Entered the Admin Username
2024-10-17 20:36:54 INFO  baseClass:27 - Entered the Admin Password
2024-10-17 20:36:56 INFO  baseClass:30 - Clicked on the Login Button
2024-10-17 20:36:59 INFO  baseClass:34 - Clicked on the PIM
2024-10-17 20:37:01 INFO  baseClass:37 - Checked the EmployeeList is selected OR Not
2024-10-17 20:37:37 INFO  baseClass:49 - The URL is Opening
2024-10-17 20:37:38 INFO  baseClass:24 - Entered the Admin Username
2024-10-17 20:37:40 INFO  baseClass:27 - Entered the Admin Password
2024-10-17 20:37:44 INFO  baseClass:30 - Clicked on the Login Button
2024-10-17 20:37:47 INFO  baseClass:34 - Clicked on the PIM
